,Unnamed: 0,job_titles,companys,location,employment_type,gov_support,salary,links,industrys
0,0,Data Engineer,GRABTAXI HOLDINGS PTE. LTD.,Central,Professional,Government support available,"$6,000to$10,000",https://www.mycareersfuture.sg/job/data-engineer-grabtaxi-holdings-189dd8637b4193915e4a37247baa461c,Engineering
1,1,Data Engineer,MOKA TECHNOLOGY SOLUTIONS PTE. LTD.,North,Professional,Government support available,"$5,000to$7,000",https://www.mycareersfuture.sg/job/data-engineer-moka-technology-solutions-9a2882ca74c6e52d5a8f33fbc7a5a572,Engineering
2,2,Data Engineer,TITANSOFT PTE. LTD.,Central,Executive,Government support available,"$3,000to$8,000",https://www.mycareersfuture.sg/job/data-engineer-titansoft-8ac4098c795dce10e7a48030a42255b3,Professional Services
3,3,Senior ETL and DATA Engineer,SMARTSOFT PTE. LTD.,Islandwide,Senior Executive,,"$6,000to$11,000",https://www.mycareersfuture.sg/job/senior-etl-data-engineer-smartsoft-4b1aeea089cbaa6726eb2cb5dca20fd0,Information Technology
4,4,Senior ETL and Data Engineer,SCHELLDEN GLOBAL SERVICES,Islandwide,Senior Executive,,"$6,000to$11,000",https://www.mycareersfuture.sg/job/senior-etl-data-engineer-schellden-global-services-31003e58ccc2f49ba4d79ddd8a696ca4,Information Technology
5,5,Senior ETL and Data Engineer,SCHELLDEN GLOBAL PTE. LTD.,Islandwide,Senior Executive,,"$6,000to$11,000",https://www.mycareersfuture.sg/job/senior-etl-data-engineer-schellden-global-99f611ea6cf10ae6754dd32381943bcd,Information Technology
6,6,High-Performance Data Engineer,NIOMETRICS (PTE.) LTD.,East,Professional,Government support available,"$5,500to$11,000",https://www.mycareersfuture.sg/job/high-performance-data-engineer-niometrics-af05e08c9f5a51a65c5213bde728c60f,Information Technology
7,7,Data Engineer,ABAKUS (ASIA PACIFIC) PTE. LTD.,East,Executive,Government support available,"$5,500to$7,000",https://www.mycareersfuture.sg/job/data-engineer-abakus-ec80cf4678d1bf50b66a251f06283161,Information Technology
8,8,Data Engineer,ORICA INTERNATIONAL PTE. LTD.,Central,Fresh/entry level,Government support available,"$75,000to$90,000",https://www.mycareersfuture.sg/job/data-engineer-orica-international-a6afa6b4ba52dfdb024217fcb0b4eba0,Information Technology
9,9,Data Engineer,LEADBOOK PTE. LTD.,Central,Professional,,"$2,000to$4,000",https://www.mycareersfuture.sg/job/data-engineer-leadbook-995d39b7e98f157a50df98d041569510,Information Technology ...
10,10,Data Engineer,FACEBOOK SINGAPORE PTE. LTD.,East,Professional,,"$7,500to$12,000",https://www.mycareersfuture.sg/job/data-engineer-facebook-singapore-5c0cbba35308ed1b1cefe4e70801f488,Engineering
11,11,Data Engineer,FOODPANDA SINGAPORE PTE. LTD.,Central,Manager ...,Government support available,"$5,000to$10,000",https://www.mycareersfuture.sg/job/data-engineer-foodpanda-singapore-484d3e1bc4cd02189d121f6b24fb2fb5,Others
12,12,Lead Data Engineer,JEWEL PAYMENTECH PTE. LTD.,East,Professional,,"$8,000to$12,000",https://www.mycareersfuture.sg/job/lead-data-engineer-jewel-paymentech-2097b9ff0f6bb0197cb3b03afbbcb8b5,Information Technology
13,13,Data Engineer,JEWEL PAYMENTECH PTE. LTD.,East,Professional,,"$4,000to$8,000",https://www.mycareersfuture.sg/job/data-engineer-jewel-paymentech-ab98de328007a20fc1f5ad9a4cd3e160,Information Technology
14,14,Senior Data Engineer,JEWEL PAYMENTECH PTE. LTD.,East,Professional,,"$8,000to$10,000",https://www.mycareersfuture.sg/job/senior-data-engineer-jewel-paymentech-38ad00cacb9beddc5e5b4a206592fd8f,Information Technology
15,15,Data Engineer,HONESTBEE PTE. LTD.,South,Executive ...,Government support available,Salary undisclosed,https://www.mycareersfuture.sg/job/data-engineer-honestbee-a330651fbfd55e72e33da59c6fff3b38,Information Technology
16,16,Big Data Engineer (Financial Services),ERNST & YOUNG ADVISORY PTE. LTD.,Central,Middle Management,Government support available,"$8,000to$16,000",https://www.mycareersfuture.sg/job/big-data-engineer-ernst-young-advisory-52a9c40c842ec8393282fdc31a1af874,Consulting  ...
