,job_titles,companys,employment_type,seniority,industrys,salary,salary_terms,job_descriptions,job_requirements,links,location,gov_support
0,Data Engineer,GRABTAXI HOLDINGS PTE. LTD.,Full Time,Professional,Engineering,"$6,000to$10,000",Monthly," Build, deploy and manage big data solutions that can adequately handle the needs of a rapidly growing data driven company  Spearhead the development of systems, architectures, and platforms that can scale to the 3 Vs of Big data (Volume, Velocity, Variety)   Streamline data access and security to enable data scientists and analysts to easily access to data whenever they need to   Build out scalable and reliable ETL pipelines and processes to ingest data from a large number and variety of data sources   Maintain and optimize the performance of our data analytics infrastructure to ensure accurate, reliable and timely delivery of key insights for decision making     Lead the movement cleaning and normalizing subsets of data of interest as preparatory step before deeper analysis by the data scientists   Run Modern high performance analytical databases and computation engines like RedShift, BigQuery, Greenplum,Presto and others  ","  A degree or higher in Computer Science, Electronics or Electrical Engineering, Software Engineering, Information Technology or other related technical disciplines.   Experience in handling large data sets (multiple TBs) and working with structured, unstructured and geographical datasets   Designed high performance scalable infrastructure stacks for Big Data Analytics   Deep understanding of databases and best engineering practices - include handling and logging errors, monitoring the system, building human-fault-tolerant pipelines, understanding how to scale up, addressing continuous integration, knowledge of database administration, maintaining data cleaning and ensuring a deterministic pipeline   Real passion for data, new data technologies, and discovering new and interesting solutions to the company’s data needs   Excellent communication skills to communicate with the product development engineers to coordinate development of data pipelines, and or any new products features that can be built on top of the results of data analysis  ",https://www.mycareersfuture.sg/job/data-engineer-grabtaxi-holdings-189dd8637b4193915e4a37247baa461c,Central,Government support available
1,Data Engineer,MOKA TECHNOLOGY SOLUTIONS PTE. LTD.,"Permanent, Full Time",Professional,Engineering,"$5,000to$7,000",Monthly,"Do you have a passion for data? Are you looking to push the frontiers of innovation and build the Next Big Data Product? We are looking for excellent Data Engineers who are keen to help us manage the end-to-end data pipeline and drive big data solutions.  You will:  Design, implement and manage end to end data pipelines (ETL, data streaming and warehousing) so as to make data easily accessible for analysis. Integrate with third party APIs for accessing external data. Create and maintain data warehouses for reporting or analysis. Consult and partner with engineering and product teams to execute data-related product initiatives. Ability to quickly resolve performance and systems incidents. Evaluate the latest monitoring and automation tools. ","You have:  BS (MS preferred) in Computer Science or Computer Engineering. Excellent software engineering skills and proven track record (4+ years experience) in building automated, scalable and robust data processing systems. Proficiency in SQL, bash scripts and Python (or similar languages). Intermediate understanding of database technologies. Experience with data warehouse systems (e.g. Redshift) and batch/semi-online building blocks (e.g. MapReduce, Spark etc). Demonstrated expertise in working with large scale quantitative data. Excellent attention to detail and team player. ",https://www.mycareersfuture.sg/job/data-engineer-moka-technology-solutions-9a2882ca74c6e52d5a8f33fbc7a5a572,North,Government support available
2,Data Engineer,TITANSOFT PTE. LTD.,Permanent,Executive,Professional Services,"$3,000to$8,000",Monthly,"If you believe data makes the world go round, we believe we have found the one we are looking for. Our data and research team are the ultimate managers of data. Others see meaningless figures but they see value. Our team are part of mathematician, part of computer scientist, and part of interpreters. Of data. What a Data Engineer does in Titansoft Manage data warehouse with plans for a business vertical or a group of business verticals Generate and manage all allocated data sets including ensuring its quality based on requirements Work with our Data Infrastructure team to triage and resolve infrastructure issues Manage the delivery of high impact dashboards and data visualisation diagrams","What we are looking for in a Data Engineer Qualifications BA/BS in Computer Science, Electronics or Electrical Engineering, Information Technology or other qualified achievement Experience Hands-on experience in SQL or similar languages and development experience in at least one scripting language (Python preferred) Understand data architecture, data modeling and schema design What makes a (Super!) Data Engineer in Titansoft Patience to clean up huge amounts of data Passion to research domain knowledge Experience with large data sets, Hadoop, and data visualisation tools Interest in cloud computing and service (GCP, AWS, Azure) Interest in AI/ Machine-Learning product",https://www.mycareersfuture.sg/job/data-engineer-titansoft-8ac4098c795dce10e7a48030a42255b3,Central,Government support available
3,Senior ETL and DATA Engineer,SMARTSOFT PTE. LTD.,Full Time,Senior Executive,Information Technology,"$6,000to$11,000",Monthly,"  Responsibilities include understanding ETL & Data Engineering requirements, architecture design, development of etl mapping and framework using SQL, Informatica, Python, Google Bigquery & Google Dataflow. This is a technical position providing hands-on delivery role, working with the cross-functional teams, while ensuring excellent cross functional relationship.   Job Details:  Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Google ‘big data’ technologies. Build processes supporting data transformation, data structures, metadata, dependency and workload management. Work with stakeholders including the BSA, Report developers, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. Additional responsibilities include troubleshooting, maintenance, and optimization or enhancement of existing processes. Partner with engineering leads and architects to define & coordinate technical design. Design and code reviews to ensure standards and quality level for the build Performance tuning of ETL jobs to meet SLA Prepare technical documentations on the deliverables Identify, define and implement best practices for process improvements for SDLC management ","Experiences:  Must have 4 to 6 years of experience using SQL, Informatica, Python & Bigquery. Must be hands-on and have working experience in SQL, Informatica 10.x, Python. Working experience with Google Bigquery, Google Dataflow & Exasol is a big plus. Working experience with Kafka or Google Pubsub is a big plus. Hands-on experience in development using best practices and standards on Informatica products specifically PowerCenter 9.x/10.x and Web Service Transformation Solid working skills preferably in Oracle RDBMS, SQL, PL/SQL and ODS/3NF db design considering performance and SLA. Strong design skills with a proven track record of success on large/highly complex projects preferably in the area of Enterprise Apps and Integration. Must have the ability to communicate technical issues and observations. Must have experience in cross functional domain and end to end knowledge of business and technology. Technical and functional knowledge in Oracle EBS & Siebel CRM are preferred.  Must possess excellent verbal and written communication skills. Must be able to effectively communicate & work with fellow team members and other functional team members to coordinate & meet deliverables",https://www.mycareersfuture.sg/job/senior-etl-data-engineer-smartsoft-4b1aeea089cbaa6726eb2cb5dca20fd0,Islandwide,
4,Senior ETL and Data Engineer,SCHELLDEN GLOBAL SERVICES,Full Time,Senior Executive,Information Technology,"$6,000to$11,000",Monthly,"Responsibilities include understanding ETL & Data Engineering requirements, architecture design, development of etl mapping and framework using SQL, Informatica, Python, Google Bigquery & Google Dataflow. This is a technical position providing hands-on delivery role, working with the cross-functional teams, while ensuring excellent cross functional relationship.   Job Details:  Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Google ‘big data’ technologies. Build processes supporting data transformation, data structures, metadata, dependency and workload management. Work with stakeholders including the BSA, Report developers, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. Additional responsibilities include troubleshooting, maintenance, and optimization or enhancement of existing processes. Partner with engineering leads and architects to define & coordinate technical design. Design and code reviews to ensure standards and quality level for the build Performance tuning of ETL jobs to meet SLA Prepare technical documentations on the deliverables Identify, define and implement best practices for process improvements for SDLC management "," Must have 4 to 6 years of experience using SQL, Informatica, Python & Bigquery. Must be hands-on and have working experience in SQL, Informatica 10.x, Python. Working experience with Google Bigquery, Google Dataflow & Exasol is a big plus. Working experience with Kafka or Google Pubsub is a big plus. Hands-on experience in development using best practices and standards on Informatica products specifically PowerCenter 9.x/10.x and Web Service Transformation Solid working skills preferably in Oracle RDBMS, SQL, PL/SQL and ODS/3NF db design considering performance and SLA. Strong design skills with a proven track record of success on large/highly complex projects preferably in the area of Enterprise Apps and Integration. Must have the ability to communicate technical issues and observations. Must have experience in cross functional domain and end to end knowledge of business and technology. Technical and functional knowledge in Oracle EBS & Siebel CRM are preferred. Must possess excellent verbal and written communication skills. Must be able to effectively communicate & work with fellow team members and other functional team members to coordinate & meet deliverables. ",https://www.mycareersfuture.sg/job/senior-etl-data-engineer-schellden-global-services-31003e58ccc2f49ba4d79ddd8a696ca4,Islandwide,
5,Senior ETL and Data Engineer,SCHELLDEN GLOBAL PTE. LTD.,Full Time,Senior Executive,Information Technology,"$6,000to$11,000",Monthly,"Responsibilities include understanding ETL & Data Engineering requirements, architecture design, development of etl mapping and framework using SQL, Informatica, Python, Google Bigquery & Google Dataflow. This is a technical position providing hands-on delivery role, working with the cross-functional teams, while ensuring excellent cross functional relationship.   Job Details:  Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Google ‘big data’ technologies. Build processes supporting data transformation, data structures, metadata, dependency and workload management. Work with stakeholders including the BSA, Report developers, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. Additional responsibilities include troubleshooting, maintenance, and optimization or enhancement of existing processes. Partner with engineering leads and architects to define & coordinate technical design. Design and code reviews to ensure standards and quality level for the build Performance tuning of ETL jobs to meet SLA Prepare technical documentations on the deliverables Identify, define and implement best practices for process improvements for SDLC management ","Experiences:  Must have 4 to 6 years of experience using SQL, Informatica, Python & Bigquery. Must be hands-on and have working experience in SQL, Informatica 10.x, Python. Working experience with Google Bigquery, Google Dataflow & Exasol is a big plus. Working experience with Kafka or Google Pubsub is a big plus. Hands-on experience in development using best practices and standards on Informatica products specifically PowerCenter 9.x/10.x and Web Service Transformation Solid working skills preferably in Oracle RDBMS, SQL, PL/SQL and ODS/3NF db design considering performance and SLA. Strong design skills with a proven track record of success on large/highly complex projects preferably in the area of Enterprise Apps and Integration. Must have the ability to communicate technical issues and observations. Must have experience in cross functional domain and end to end knowledge of business and technology. Technical and functional knowledge in Oracle EBS & Siebel CRM are preferred. Must possess excellent verbal and written communication skills. Must be able to effectively communicate & work with fellow team members and other functional team members to coordinate & meet deliverables. ",https://www.mycareersfuture.sg/job/senior-etl-data-engineer-schellden-global-99f611ea6cf10ae6754dd32381943bcd,Islandwide,
6,High-Performance Data Engineer,NIOMETRICS (PTE.) LTD.,Permanent,Professional,Information Technology,"$5,500to$11,000",Monthly,"WHAT WE DO We invite you to be part of our ambitious, close-knit team creating systems for large customers who need to crunch through Tbps of data in real-time. Our approach is relentless performance-oriented software engineering vs. server sprawl in our customers' datacentres. You will use the latest high-end hardware and continuously devise ways to push the envelope of software performance. We build in-house systems if we must. We had to for indexing 1M 60-column rows/s, for aggregating high throughput event streams over hundreds of combinations of dimensions, and for pattern matching 5M patterns at 100Gb/s per 2RU. We use these to solve real customer problems. You will experiment wildly. For example we implemented network monitoring using a GPU, and we tested 4-socket machines with 2T RAM. Our current favourite platform is a 2-socket system with E5-2699v4 CPUs (88 lcores in total), 4x40Gbps NICs and 1T RAM, which we use to process 160Gbps. You will help us build a successful software platform for the long run. We invest a lot in flexibility, such as with our extensible rule engine and declarative aggregation system that empowers our analysts and helps us minimise the C code we have to write for supporting disparate use-cases. We know the devil is in the details. You will improve performance through better memory allocation systems and better data structures, all while ensuring that they are integrated with Address Sanitizer and fully tested using unit tests and end-to-end regression tests. We work end-to-end. You will implement data engineering solutions that are both efficient and secure for handling events from 500 million users, and to extract insight without leaking individual information. We want to show off. To attract the best programmers we plan to showcase our technology. You can be part of our effort to open-source interesting pieces of our technology stack.   YOUR ROLE AS HIGH-PERFORMANCE DATA ENGINEER As a High-Performance Data Engineer, you will create and maintain tools, mainly in C, for crunching large amounts of data in files or streams. You will have to think both big, in terms of overall architecture, and small, in terms of low-level optimisations, to deliver solutions that are reusable, and match the performance of the best hardware. Every capability you add directly translates to new offerings made possible. Every percent of performance improvement directly translates to large cost savings. At the same time, the correctness and reliability of your work will be the cornerstone to our customers’ trust.",WHAT WE VALUE  Bachelor’s or Higher Degree in Computer Science or equivalent Software craftsmanship Attention to reliability and successful delivery Experience with large C code bases and high-performance C programming Familiarity with shared memory data structures and parallel algorithms Proficiency with Linux system & development tools ,https://www.mycareersfuture.sg/job/high-performance-data-engineer-niometrics-af05e08c9f5a51a65c5213bde728c60f,East,Government support available
7,Data Engineer,ABAKUS (ASIA PACIFIC) PTE. LTD.,Permanent,Executive,Information Technology,"$5,500to$7,000",Monthly,"To reinvent an industry, you need to build an all-star team. Join Wecash if you want to realise a world of better living through responsible credit, by developing and promoting products that provide businesses with comprehensive and accurate evaluation of consumer credit worthiness as well as underwrite loans between funding sources and consumers. Wecash leverage upon the power of mobile technology, big data and machine learning to prevent fraud and determine consumer credit worthiness. Wecash started in 2014 and has since raised more than US$200 million in financing, acquired over 100 million users and processed more than US$5 billion in loans in 2017 alone. Wecash is creating a platform for financial products for the financially underserved utilizing artificial intelligence, big data and mobile technology. At Wecash, we move really quickly, get stuff done, and are constantly iterating. We are looking for a data engineer to support our expansion in Southeast Asia who will collaborate with the Data Science team to streamline our data products for analytics, operation and research. The candidate should be proactive and willing to keep-up with cutting-edge technologies. Responsibilities:  Develop, deploy and maintain machine learning models Design simulation and testing frameworks for model validation Identify, collect and organize new data sources Research on new technologies for efficient data management   "," Degree in Computer Science/Mathematics/Statistics/Physics, or related fields Proficiency in Python, SQL and Linux shell with minimum 1 year of hands-on experience Experience in statistical modelling Knowledge in Web Frameworks and RESTful APIs Knowledge in Version Control and Continuous Integration tools Willing to learn, innovative, good communication skills and team player  Bonus Skills  Working experience in NoSQL Working experience in Machine learning Ability to communicate in Mandarin or Bahasa Indonesia or other Asian language to communicate with counterparts in China, Indonesia and other APAC offices. ",https://www.mycareersfuture.sg/job/data-engineer-abakus-ec80cf4678d1bf50b66a251f06283161,East,Government support available
8,Data Engineer,ORICA INTERNATIONAL PTE. LTD.,Permanent,Fresh/entry level,Information Technology,"$75,000to$90,000",Annually,"Orica is seeking a bright and motivated individual to join our Data Science team. The candidate's primary responsibility will be to provide analytics services for the digital hub initiatives to help improve and monitor product reliability and operational efficiency. This will include developing insights from diverse data sources and creating platforms to make these insights actionable for key stakeholders.   The successful Data Engineer will propose creative Data Science solutions to problems faced by various groups at Orica, evaluate those solutions, and then work with the team to develop and deploy those solutions.   RESPONSIBILITIES    Perform large-scale data analysis and develop effective statistical models for segmentation, classification, optimization, time series, etc. Uses analytical platforms such as R and Python to model complex systems and derive actionable insights. Design and implement reporting dashboards that track key business metrics and provide actionable insights. Works with the team to review, analyse, and develop solutions for operational leaders. Work closely with both business units and engineering teams to formulate measurement problems and associated technical solution strategies Work closely with engineering and product management teams to build tools and applications on our unique big data platform to efficiently generate and deploy insights into decision-making systems at Orica. "," An advanced degree (Masters or PhD) in statistics, mathematics, computer science, engineering or scientific field Proficiency with statistical analysis tools to include: R, SAS, SPSS Proficiency with software development technologies to include: Python, C++, Java Knowledge of machine learning tools, basic statistics, data visualization techniques and databases (SQL) to Perform large-scale data analysis and develop effective statistical models for segmentation, classification, optimization, time series, etc. Excellent verbal and communication skills, ability to explain predictive analytics to non-technical audience Interface with Engineers, Product Managers and Product Analysts to understand product goals and data needs Build data expertise and own data quality for allocated areas of ownership Numerical skills with the ability to think logically and practically to deal with complexity. Ability to:   Work in a fast-paced environment Promptly recognize emerging problems and identify potential solutions Deliver high-quality results on time   ",https://www.mycareersfuture.sg/job/data-engineer-orica-international-a6afa6b4ba52dfdb024217fcb0b4eba0,Central,Government support available
9,Data Engineer,LEADBOOK PTE. LTD.,Permanent,Professional,"Information Technology, Sciences / Laboratory / R&D","$2,000to$4,000",Monthly,"Data Engineer If you are a data science and python enthusiast who likes to build best-in-class python crawlers and data processing pipe, we are interested in you. Leadbook.com is a global leader in customer intelligence. Leadbook helps sales team discover new opportunities, build targeted lists in seconds and gain deep insights about their prospects and customers. Responsibilities:    * Design and develop a highly scalable, data crawlers to extract large volumes of data from www.    * Wrangle the raw data to get cleaned, normalized, and enriched datasets using transformations, normalization and mapping.    * Work in Agile / Scrum environments with remote team    * Develop creative ideas on how to work better and smarter.","Qualifications: 2 years of tangible Python development experience Excellent English communication skills both spoken and written Develop clean, elegant, well-commented, and reusable code with version control (Git) Degree in Computing or equivalent",https://www.mycareersfuture.sg/job/data-engineer-leadbook-995d39b7e98f157a50df98d041569510,Central,
